config1,config2,mean_Throughput_KAtomSteps_s_MaxAtoms_config1,mean_Throughput_KAtomSteps_s_MaxAtoms_config2,std_Throughput_KAtomSteps_s_MaxAtoms_config1,std_Throughput_KAtomSteps_s_MaxAtoms_config2,t_statistic,p_value,cohen_d,significant_diff,better_config
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,53.297666666666665,122.42033333333335,1.1772902502498388,4.962642877875999,-23.4735571596308,0.0010395954596065032,-19.166079163050092,True,hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_060_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_051_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,94.69933333333334,167.739,4.957805193160921,9.129057563626152,-12.17781574292764,0.0010400447020681499,-9.943144917268254,True,hpo_051_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_068_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,64.107,207.639,1.9523081211734972,9.682192881780454,-25.169903854594892,0.0010409648439724517,-20.551140439556324,True,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256
hpo_055_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,120.54333333333334,167.94966666666667,5.66160315929449,7.113700466939366,-9.031362485172396,0.0010427026874573406,-7.374076590262192,True,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_032_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,53.297666666666665,139.47033333333331,1.1772902502498388,5.823996079440072,-25.119581795013442,0.001043326333048551,-20.510052649962827,True,hpo_032_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_008_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512,68.832,137.90833333333333,2.2996971539748463,6.348990654689404,-17.718038006201947,0.001045132330082031,-14.466717452811393,True,hpo_008_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512
hpo_061_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_024_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,71.2305,207.55499999999998,2.622659051420897,10.816030741450396,-20.927312610271972,0.0010458543608089055,-15.21458003392893,True,hpo_024_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,62.85066666666666,109.3,1.8451819241834515,4.606070342493692,-16.214029907155123,0.0010493185893700938,-13.238699982252053,True,hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_005_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512,65.223,165.20033333333333,1.9610871984692553,7.533446577319927,-22.24490691876086,0.001051308052185983,-18.162890442223762,True,hpo_005_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512
hpo_075_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_031_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,103.31099999999999,207.81033333333335,4.55106767693033,10.792824112961968,-15.45259468462201,0.0010530065684801603,-12.616990726455825,True,hpo_031_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,65.223,207.639,1.9610871984692553,9.682192881780454,-24.96980469906848,0.0010551589698408743,-20.387760163222477,True,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256
hpo_070_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_014_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,94.057,150.861,4.180542189716547,7.365772464582384,-11.616745577048468,0.0010577379077450727,-9.48503304516736,True,hpo_014_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512
hpo_076_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_020_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512,87.20733333333334,142.444,3.891633376017501,7.037874323970265,-11.896381536882226,0.001060051818594289,-9.713354850276064,True,hpo_020_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512
hpo_067_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_008_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512,94.19433333333332,137.90833333333333,4.393680158287962,6.348990654689404,-9.80633333214181,0.001061292476052299,-8.006837637131383,True,hpo_008_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512
